cuskEel,Abadèche,abadeche_161608_w100h100c1cxt0cyt0cxb1024cyb1024.png,fish,Cusk-eel,Abadía,g,g|kg|piece,
offal,Abats,abats_76282_w100h100c1cx3000cy2000cxt0cyt0cxb6000cyb4000.jpg,meat,Offal,Menudencias,g,g|kg|piece,
abundance,Abondance,abondance_84345_w100h100c1cx250cy250cxt0cyt0cxb500cyb500.jpg,dairy,Abundance,Abundancia,g,g|kg|piece,
apricot,Abricot,abricot_67622_w100h100c1cx256cy192cxt0cyt0cxb700cyb700.jpg,fruits,Apricot,Albaricoque,piece,piece|g|kg,
apricotInSyrup,Abricot au sirop,abricot-au-sirop_78359_w100h100c1cx1650cy1650cxt0cyt0cxb3300cyb3300.jpg,canned,Apricot in syrup,Albaricoques en almíbar,piece,piece|g|kg,
driedApricot,Abricot sec,abricot-sec_75861_w100h100c1cx1824cy1824cxt0cyt0cxb3648cyb3648.jpg,fruits,Dried apricot,albaricoque seco,piece,piece|g|kg,
absinthe,Absinthe,,beverages,Absinthe,Ajenjo,ml,ml|l|cl|piece,
achatine,Achatine,,meat,Achatine,Acatina,g,g|kg|piece,
citricAcid,Acide citrique,,preparation,Citric acid,Ácido cítrico,g,g|ml|piece,
lacticAcid,Acide lactique,,preparation,Lactic acid,Ácido láctico,g,g|ml|piece,
tartaricAcid,Acide tartrique,,preparation,Tartaric acid,Ácido tartárico,g,g|ml|piece,
acidifier,Acidifiant,,preparation,Acidifier,Acidificante,g,g|ml|piece,
acoupa,Acoupa,,fish,Acoupa,Acoupa,g,g|kg|piece,
adjwain,Adjwain,,spices,Adjwain,Adjwain,g,g|piece,
afterEight,After eight,after-eight_85397_w100h100c1cx1100cy1100cxt0cyt0cxb2200cyb2200.png,snacks,After eight,Después de ocho,g,g|piece,
agarAgar,Agar-agar,agar-agar_67736_w100h100c1cx350cy350.jpg,preparation,Agar-agar,Agar-agar,g,g|ml|piece,
lamb,Agneau,agneau_67664_w100h100c1cx350cy350.jpg,meat,Lamb,Cordero,g,g|kg|piece,
agosturaBitter,Agostura bitter,,beverages,Agostura bitter,Agostura amargo,ml,ml|l|cl|piece,
